Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
UNIROYAL ELEC,C17380,CHIP RESISTOR - SURFACE MOUNT 1.2MOHMS ±1% 1/8W 0805 ROHS,0805,59014,CHIP RESISTOR - SURFACE MOUNT,0805W8F1204T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1204T5E_C17380.pdf,0.0042,1200000.0,1.0,Resistor,,1188000.0,1212000.0
UNIROYAL ELEC,C26117,CHIP RESISTOR - SURFACE MOUNT 3MOHMS ±5% 1/8W 0805 ROHS,0805,62887,CHIP RESISTOR - SURFACE MOUNT,0805W8J0305T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8J0305T5E_C26117.pdf,0.0026,3000000.0,5.0,Resistor,,2850000.0,3150000.0
FORTUNE SEMICON,C32254,"MOSFET 2 N CHANNEL(DUAL) 20V 6A 1.2V @ 250UA 28 M? @ 4A,4.5V SOT-23-6 ROHS",SOT-23-6,16851,MOSFET,FS8205,https://datasheet.lcsc.com/szlcsc/Fortune-Semicon-FS8205_C32254.pdf,0.1435,,5.0,,20.0,,
MICROCHIP TECH,C12368,CAN 1/1 1MBPS 2.7V ~ 5.5V SOIC-18_300MIL ROHS,SOIC-18_300MIL,438,CAN,MCP2515-I/SO,https://datasheet.lcsc.com/szlcsc/Microchip-Tech-MCP2515-I-SO_C12368.pdf,1.2345,,5.0,,7.0,,
NORDIC SEMICON,C8791,RF TRANSCEIVER ICS TXRX ONLY GENERAL ISM > 1GHZ 2.4GHZ 2MBPS 0DBM -94DBM 1.9V~3.6V QFN-20_4X4X05P ROHS,QFN-20_4X4X05P,11716,RF TRANSCEIVER ICS,NRF24L01P-R,https://datasheet.lcsc.com/szlcsc/Nordic-Semicon-NRF24L01P-R_C8791.pdf,1.2328,,5.0,,9.0,,
STMICROELECTRONICS,C30044,ST MICROELECTRONICS TSSOP-20 ROHS,TSSOP-20,2158,ST MICROELECTRONICS,STM8L101F3P6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM8L101F3P6_C30044.pdf,0.6429,,5.0,,,,
STMICROELECTRONICS,C55961,ST MICROELECTRONICS TSSOP-20 ROHS,TSSOP-20,861,ST MICROELECTRONICS,STM8S103F3P6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM8S103F3P6_C55961.pdf,0.7539,,5.0,,,,
ON SEMICON,C16414,SWITCHING CONTROLLERS SOIC-8_150MIL ROHS,SOIC-8_150MIL,15593,SWITCHING CONTROLLERS,UC3843BD1R2G,https://datasheet.lcsc.com/szlcsc/ON-Semicon-ON-UC3843BD1R2G_C16414.pdf,0.2045,,5.0,,,,
SUNLORD,C13818,HF INDUCTORS 3.9NH ±0.3NH 500MA 0603 ROHS,0603,46522,HF INDUCTORS,SDCL1608C3N9STDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C3N9STDF_C13818.pdf,0.013,,5.0,,,,
SUNLORD,C16208,HF INDUCTORS 8.2NH ±5% 300MA 0402 ROHS,0402,58402,HF INDUCTORS,SDCL1005C8N2JTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C8N2JTDF_C16208.pdf,0.0054,,5.0,,,,
GUANGDONG FENGHUA ADVANCED TECH,C1593,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 12NF 50V 0603 ROHS,0603,42568,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603B123K500NT,https://datasheet.lcsc.com/szlcsc/1812121125_Guangdong-Fenghua-Advanced-Tech-0603B123K500NT_C1593.pdf,0.0107,,5.0,,50.0,,
SUNLORD,C24563,HF INDUCTORS 12NH ±5% 300MA 0402 ROHS,0402,57451,HF INDUCTORS,SDCL1005C12NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C12NJTDF_C24563.pdf,0.0054,,5.0,,,,
GUANGDONG FENGHUA ADVANCED TECH,C1700,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 27NF 50V 0603 ROHS,0603,54260,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603F273M500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603F273M500NT_C1700.pdf,0.016,,5.0,,50.0,,
SUNLORD,C26443,HF INDUCTORS 39NH ±5% 200MA 0402 ROHS,0402,58046,HF INDUCTORS,SDCL1005C39NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C39NJTDF_C26443.pdf,0.0054,,5.0,,,,
UNIROYAL ELEC,C25199,CHIP RESISTOR - SURFACE MOUNT 91OHMS ±1% 1/10W 0603 ROHS,0603,57414,CHIP RESISTOR - SURFACE MOUNT,0603WAF910JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF910JT5E_C25199.pdf,0.0038,91.0,1.0,Resistor,,90.09,91.91
UNIROYAL ELEC,C15785,CHIP RESISTOR - SURFACE MOUNT 560KOHMS ±1% 1/8W 0805 ROHS,0805,33931,CHIP RESISTOR - SURFACE MOUNT,0805W8F5603T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F5603T5E_C15785.pdf,0.0034,560000.0,1.0,Resistor,,554400.0,565600.0
HOLTEK SEMICON,C7532,LCD DRIVERS LQFP-48_7X7X05P ROHS,LQFP-48_7X7X05P,5020,LCD DRIVERS,HT1621B,https://datasheet.lcsc.com/szlcsc/Holtek-Semicon-HT1621B_C7532.pdf,0.4238,,5.0,,,,
NXP SEMICON,C7439,CAN 1/1 4.5V ~ 5.5V SOIC-8_150MIL ROHS,SOIC-8_150MIL,1168,CAN,"PCA82C250T/YM,118",https://datasheet.lcsc.com/szlcsc/NXP-Semicon-PCA82C250T-YM-118_C7439.pdf,0.6501,,5.0,,5.0,,
STMICROELECTRONICS,C33100,ST MICROELECTRONICS LQFP-64_10X10X05P ROHS,LQFP-64_10X10X05P,5181,ST MICROELECTRONICS,STM8L152R8T6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM8L152R8T6_C33100.pdf,2.6397,,5.0,,,,
STMICROELECTRONICS,C8256,ST MICROELECTRONICS LQFP-64_10X10X05P ROHS,LQFP-64_10X10X05P,170,ST MICROELECTRONICS,STM8S207R8T6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM8S207R8T6_C8256.pdf,1.448,,5.0,,,,
TEXAS INSTRUMENTS,C19882,SWITCHING CONTROLLERS SOIC-16_150MIL ROHS,SOIC-16_150MIL,2401,SWITCHING CONTROLLERS,TL494CDR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-TL494CDR_C19882.pdf,0.2547,,5.0,,,,
ANALOG DEVICES,C9675,"INSTRUMENTATION OPAMPS INSTRUMENTATION 1 4.6V ~ 36V, ±2.3V ~ 18V 1MHZ(-3DB) 1.2 V/US SOIC-8_150MIL ROHS",SOIC-8_150MIL,4108,INSTRUMENTATION OPAMPS,AD620ARZ-REEL7,https://datasheet.lcsc.com/szlcsc/Analog-Devices-ADI-AD620ARZ-REEL7_C9675.pdf,2.9931,,5.0,,6.0,,
NEXPERIA,C5622,"BUFFERS, DRIVERS, RECEIVERS, TRANSCEIVERS SOIC-20_300MIL ROHS",SOIC-20_300MIL,9063,"BUFFERS, DRIVERS, RECEIVERS, TRANSCEIVERS","74HC244D,653",https://datasheet.lcsc.com/szlcsc/Nexperia-74HC244D-653_C5622.pdf,0.191,,5.0,,,,
NEXPERIA,C5608,74 SERIES SOIC-20_300MIL ROHS,SOIC-20_300MIL,5149,74 SERIES,"74HC573D,653",https://datasheet.lcsc.com/szlcsc/Nexperia-74HC573D-653_C5608.pdf,0.2397,,5.0,,,,
GUANGDONG FENGHUA ADVANCED TECH,C1800,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 2PF 50V 0805 ROHS,0805,45490,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805CG2R0C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805CG2R0C500NT_C1800.pdf,0.0171,2e-12,5.0,Capacitor,50.0,1.9e-12,2.1e-12
GUANGDONG FENGHUA ADVANCED TECH,C1572,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 56PF 50V 0402 ROHS,0402,57255,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG560J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG560J500NT_C1572.pdf,0.0126,5.6e-11,5.0,Capacitor,50.0,5.32e-11,5.88e-11
GUANGDONG FENGHUA ADVANCED TECH,C1854,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 220PF 50V 1206 ROHS,1206,27268,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,1206B221K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-1206B221K500NT_C1854.pdf,0.0273,2.2e-10,5.0,Capacitor,50.0,2.0899999999999998e-10,2.31e-10
SUNLORD,C13595,HF INDUCTORS 4.7NH ±0.3NH 300MA 0402 ROHS,0402,59111,HF INDUCTORS,SDCL1005C4N7STDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C4N7STDF_C13595.pdf,0.0054,,5.0,,,,
SUNLORD,C18830,HF INDUCTORS 27NH ±5% 300MA 0402 ROHS,0402,58395,HF INDUCTORS,SDCL1005C27NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C27NJTDF_C18830.pdf,0.0054,,5.0,,,,
UNIROYAL ELEC,C17674,CHIP RESISTOR - SURFACE MOUNT 4.7MOHMS ±1% 1/8W 0805 ROHS,0805,39026,CHIP RESISTOR - SURFACE MOUNT,0805W8F4704T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4704T5E_C17674.pdf,0.004,4700000.0,1.0,Resistor,,4653000.0,4747000.0
UNIROYAL ELEC,C26114,CHIP RESISTOR - SURFACE MOUNT 5.1MOHMS ±1% 1/8W 0805 ROHS,0805,35852,CHIP RESISTOR - SURFACE MOUNT,0805W8F5104T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F5104T5E_C26114.pdf,0.0041,5100000.0,1.0,Resistor,,5049000.0,5151000.0
TEXAS INSTRUMENTS,C16688,ETHERNET ICS LQFP-48_7X7X05P ROHS,LQFP-48_7X7X05P_0,629,ETHERNET ICS,DP83848CVVX/NOPB,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-DP83848CVVX-NOPB_C16688.pdf,4.5006,,5.0,,,,
TEXAS INSTRUMENTS,C16428,CAN 1/1 1MBPS 3V ~ 5.5V SOP-8 ROHS,SMD-8_6.3MM,342,CAN,ISO1050DUBR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-ISO1050DUBR_C16428.pdf,1.6808,,5.0,,3.0,,
ON SEMICON,C7296,SWITCHING CONTROLLERS SOIC-8_150MIL ROHS,SOIC-8_150MIL,1159,SWITCHING CONTROLLERS,MC33063ADR2G,https://datasheet.lcsc.com/szlcsc/ON-Semicon-ON-MC33063ADR2G_C7296.pdf,0.3607,,5.0,,,,
TEXAS INSTRUMENTS,C23573,AUDIO POWER OPAMPS SOIC-8_150MIL ROHS,SOIC-8_150MIL,3808,AUDIO POWER OPAMPS,LM386MX-1/NOPB,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-LM386MX-1-NOPB_C23573.pdf,0.5503,,5.0,,,,
STMICROELECTRONICS,C46525,ST MICROELECTRONICS LQFP-144_20X20X05P ROHS,LQFP-144_20X20X05P,936,ST MICROELECTRONICS,STM32F429ZGT6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM32F429ZGT6_C46525.pdf,7.1258,,5.0,,,,
SHENZHEN TITAN MICRO ELEC,C19579,LED DRIVERS SOIC-20_300MIL ROHS,SOIC-20_300MIL,12232,LED DRIVERS,TM1620,https://datasheet.lcsc.com/szlcsc/Shenzhen-Titan-Micro-Elec-TM1620_C19579.pdf,0.1958,,5.0,,,,
TEXAS INSTRUMENTS,C6742,4000 SERIES SPDT 3 3V ~ 20V SOIC-16_150MIL ROHS,SOIC-16_150MIL,7311,4000 SERIES,CD4053BM96,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-CD4053BM96_C6742.pdf,0.2211,,5.0,,3.0,,
JIANGSU QIN HENG,C14166,"USB 12MBPS 3.3V, 5V SOIC-28_300MIL ROHS",SOIC-28_300MIL,564,USB,CH376S,https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH376S_C14166.pdf,2.8369,,5.0,,3.0,,
SILICON LABS,C47742,USB 1/1 2MBPS 3V ~ 3.6V QFN-24_4X4X05P ROHS,QFN-24_4X4X05P,5392,USB,CP2104-F03-GMR,https://datasheet.lcsc.com/szlcsc/SILICON-LABS-CP2104-F03-GM_C47742.pdf,1.2119,,5.0,,3.0,,
FORTUNE SEMICON,C16052,"MOSFET 2 N CHANNEL(DUAL) 20V 6A 1V @ 250UA 25 M? @ 4A,4.5V TSSOP-8_3X4.4X065P ROHS",TSSOP-8_3X4.4X065P,861,MOSFET,FS8205A,https://datasheet.lcsc.com/szlcsc/Fortune-Semicon-FS8205A_C16052.pdf,0.0914,,5.0,,20.0,,
UNIROYAL ELEC,C23219,CHIP RESISTOR - SURFACE MOUNT 620KOHMS ±1% 1/10W 0603 ROHS,0603,58758,CHIP RESISTOR - SURFACE MOUNT,0603WAF6203T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF6203T5E_C23219.pdf,0.0017,620000.0,1.0,Resistor,,613800.0,626200.0
UNIROYAL ELEC,C26110,CHIP RESISTOR - SURFACE MOUNT 1.5MOHMS ±1% 1/8W 0805 ROHS,0805,43784,CHIP RESISTOR - SURFACE MOUNT,0805W8F1504T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1504T5E_C26110.pdf,0.004,1500000.0,1.0,Resistor,,1485000.0,1515000.0
UNIROYAL ELEC,C26113,CHIP RESISTOR - SURFACE MOUNT 2.2MOHMS ±1% 1/8W 0805 ROHS,0805,101787,CHIP RESISTOR - SURFACE MOUNT,0805W8F2204T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F2204T5E_C26113.pdf,0.0039,2200000.0,1.0,Resistor,,2178000.0,2222000.0
TEXAS INSTRUMENTS,C6179,DRIVER ICS SOIC-16_150MIL ROHS,SOIC-16_150MIL,10858,DRIVER ICS,AM26LS31CDR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-AM26LS31CDR_C6179.pdf,0.3839,,5.0,,,,
SINOPOWER SEMICON,C20897,"MOSFET P TRENCH 30V 4.9A 2V @ 250UA 60 M? @ 4.9A,10V SOP-8_150MIL ROHS",SOP-8_150MIL,1621,MOSFET,APM4953KC-TRG,https://datasheet.lcsc.com/szlcsc/Anpec-Elec-APM4953KC-TRG_C20897.pdf,0.1595,,5.0,,30.0,,
TEXAS INSTRUMENTS,C9120,RF TRANSCEIVER ICS QFN-40_6X6X05P ROHS,QFN-40_6X6X05P_0,5628,RF TRANSCEIVER ICS,CC2530F256RHAR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-CC2530F256RHAR_C9120.pdf,1.9427,,5.0,,,,
SAMSUNG ELECTRO-MECHANICS,C14971,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1PF 50V 0805 ROHS,0805,39207,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL21C010CBANNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21C010CBANNNC_C14971.pdf,0.0186,1e-12,5.0,Capacitor,50.0,9.5e-13,1.05e-12
GUANGDONG FENGHUA ADVANCED TECH,C1558,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 2PF 50V 0402 ROHS,0402,58471,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG2R0C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG2R0C500NT_C1558.pdf,0.0018,2e-12,5.0,Capacitor,50.0,1.9e-12,2.1e-12
SUNLORD,C27123,HF INDUCTORS 2.7NH ±0.3NH 300MA 0402 ROHS,0402,58333,HF INDUCTORS,SDCL1005C2N7STDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C2N7STDF_C27123.pdf,0.0054,,5.0,,,,
SUNLORD,C32041,HF INDUCTORS 6.8NH ±5% 300MA 0402 ROHS,0402,39589,HF INDUCTORS,SDCL1005C6N8JTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C6N8JTDF_C32041.pdf,0.0054,,5.0,,,,
SUNLORD,C29258,HF INDUCTORS 12NH ±5% 300MA 0603 ROHS,0603,42417,HF INDUCTORS,SDCL1608C12NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C12NJTDF_C29258.pdf,0.0129,,5.0,,,,
SUNLORD,C24562,HF INDUCTORS 18NH ±5% 300MA 0402 ROHS,0402,56746,HF INDUCTORS,SDCL1005C18NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C18NJTDF_C24562.pdf,0.0054,,5.0,,,,
UNIROYAL ELEC,C25726,RESISTOR NETWORKS & ARRAYS 1KOHMS ±5% 1/16W 0402_X4 ROHS,0402_X4,78347,RESISTOR NETWORKS & ARRAYS,4D02WGJ0102TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-4D02WGJ0102TCE_C25726.pdf,0.0053,1000.0,5.0,Resistor,,950.0,1050.0
STC MICRO,C8707,STC LQFP-44_10X10X08P ROHS,LQFP-44_10X10X08P,2686,STC,STC89C52RC-40I,https://datasheet.lcsc.com/szlcsc/STC-Micro-STC89C52RC-40I_C8707.pdf,0.7583,,5.0,,,,
STMICROELECTRONICS,C8253,ST MICROELECTRONICS LQFP-48_7X7X05P ROHS,LQFP-48_7X7X05P,2123,ST MICROELECTRONICS,STM8S105C6T6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM8S105C6T6_C8253.pdf,0.9582,,5.0,,,,
STMICROELECTRONICS,C8254,ST MICROELECTRONICS LQFP-32_7X7X08P ROHS,LQFP-32_7X7X08P,2294,ST MICROELECTRONICS,STM8S105K6T6C,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM8S105K6T6C_C8254.pdf,0.834,,5.0,,,,
