Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
GUANGDONG FENGHUA ADVANCED TECH,C1600,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 200PF 50V 0603 ROHS,0603,91301,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603B201K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603B201K500NT_C1600.pdf,0.0198,2e-10,5.0,Capacitor,50.0,1.9e-10,2.1000000000000002e-10
GUANGDONG FENGHUA ADVANCED TECH,C1530,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 220PF 50V 0402 ROHS,0402,126402,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402B221K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402B221K500NT_C1530.pdf,0.0107,2.2e-10,5.0,Capacitor,50.0,2.0899999999999998e-10,2.31e-10
UNIROYAL ELEC,C25950,CHIP RESISTOR - SURFACE MOUNT 11KOHMS ±1% 1/10W 0603 ROHS,0603,22187,CHIP RESISTOR - SURFACE MOUNT,0603WAF1102T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1102T5E_C25950.pdf,0.0022,11000.0,1.0,Resistor,,10890.0,11110.0
UNIROYAL ELEC,C25079,CHIP RESISTOR - SURFACE MOUNT 120OHMS ±1% 1/16W 0402 ROHS,0402,46680,CHIP RESISTOR - SURFACE MOUNT,0402WGF1200TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1200TCE_C25079.pdf,0.0011,120.0,1.0,Resistor,,118.8,121.2
STMICROELECTRONICS,C71035,"GENERAL PURPOSE AMPLIFIERS GENERAL PURPOSE 4 3V ~ 32V, ±1.5V ~ 16V 1.3MHZ 0.4 V/US SOIC-14_150MIL ROHS",SOIC-14_150MIL,27989,GENERAL PURPOSE AMPLIFIERS,LM324DT,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-LM324DT_C71035.pdf,0.0806,,5.0,,3.0,,
TEXAS INSTRUMENTS,C7972,"GENERAL PURPOSE AMPLIFIERS GENERAL PURPOSE 1 2.7V ~ 5.5V, ±1.35V ~ 2.75V 1MHZ 1 V/US SOT-23-5 ROHS",SOT-23-5,5812,GENERAL PURPOSE AMPLIFIERS,LMV321IDBVR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-LMV321IDBVR_C7972.pdf,0.1867,,5.0,,7.0,,
PROTEK DEVICES,C32677,TVS SOT-23(SOT-23-3) ROHS,SOT-23,45641,TVS,PSM712-LF-T7,https://datasheet.lcsc.com/szlcsc/ProTek-Devices-PSM712-LF-T7_C32677.pdf,0.3548,,5.0,,,,
NXP SEMICON,C7440,"REAL-TIME CLOCKS CLOCK/CALENDAR I2C, 2-WIRE SERIAL 0.6UA ~ 0.75UA @ 2V ~ 5V SOIC-8_150MIL ROHS",SOIC-8_150MIL,6665,REAL-TIME CLOCKS,"PCF8563T/5,518",https://datasheet.lcsc.com/szlcsc/NXP-Semicon-PCF8563T-5-518_C7440.pdf,0.4039,,5.0,,2.0,,
UNIROYAL ELEC,C17594,CHIP RESISTOR - SURFACE MOUNT 27OHMS ±1% 1/8W 0805 ROHS,0805,94860,CHIP RESISTOR - SURFACE MOUNT,0805W8F270JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F270JT5E_C17594.pdf,0.0034,27.0,1.0,Resistor,,26.73,27.27
KEC SEMICON,C18536,TRANSISTORS (NPN/PNP) NPN 200MA 40V SOT-23(SOT-23-3) ROHS,SOT-23,17191,TRANSISTORS (NPN/PNP),2N3904S-RTK/PS,https://datasheet.lcsc.com/szlcsc/KEC-Semicon-2N3904S-RTK-PS_C18536.pdf,0.0178,,5.0,,40.0,,
